"Name","Average coverage","Reference length"
"1196","1466.573","2923"
"1197","5.628","13999"
"1198","357.712","19085"
"1199","7.169","32698"
"1200","11.586","10534"
"1201","2286.39","1670"
"1202","107.341","1509"
"1203","165.634","1882"
"1204","2.15","123882"
"1205","1.436","7483"
"1206","0.312","6469"
"1207","9.791","7584"
"1208","8.167","12634"
"1209","68.109","2400"
"1210","6.774","7273"
"1211","285.924","36660"
"1212","11.283","27683"
"1213","0","1262"
"1214","1206.361","3423"
"1215","457.446","8704"
"1216","0.714","9875"
"1217","53.058","1049"
"1218","0.123","1207"
"1219","41.44","81276"
"1220","36.345","19839"
"1221","0.049","3040"
"1222","0.211","5385"
"1223","373.301","7974"
"1224","0.213","51634"
"1225","4.387","296584"
"1226","0.339","1350"
"1227","0","1235"
"1228","0","3010"
"1229","10.16","56828"
"1230","29212.042","9045"
"1231","62.791","6223"
"1232","12.864","1310"
"1233","70.902","24927"
"1234","109.155","14345"
"1235","28.35","2449"
